L_over_D,D,ROSS (greedy)_savings_mean,ROSS (greedy)_savings_std,ROSS (uniform)_savings_mean,ROSS (uniform)_savings_std,Uniform Progress_savings_mean,Uniform Progress_savings_std,Greedy_savings_mean,Greedy_savings_std
0.4,250.0,51.82999999999999,7.105427357601002e-15,78.09999999999998,2.842170943040401e-14,78.09999999999998,2.842170943040401e-14,79.73999999999997,2.842170943040401e-14
0.45,222.0,46.28999999999999,7.105427357601002e-15,78.17999999999998,1.4210854715202004e-14,78.17999999999998,1.4210854715202004e-14,79.82000000000002,1.4210854715202004e-14
0.5,200.0,71.92000000000002,1.4210854715202004e-14,79.88000000000002,2.842170943040401e-14,79.88000000000002,2.842170943040401e-14,79.88000000000002,2.842170943040401e-14
0.55,182.0,44.65000000000001,1.4210854715202004e-14,70.8,0.0,70.8,0.0,79.76,1.4210854715202004e-14
0.6000000000000001,167.0,55.119,0.2694729423646566,55.119,0.2694729423646566,75.72,1.4210854715202004e-14,79.76,1.4210854715202004e-14
0.65,154.0,55.190999999999995,0.27134664177026385,55.190999999999995,0.27134664177026385,79.86,0.0,79.86,0.0
0.7000000000000001,143.0,55.196666666666644,0.27369488283285454,55.196666666666644,0.27369488283285454,77.46999999999998,1.4210854715202004e-14,79.88000000000002,2.842170943040401e-14
0.75,133.0,55.19733333333332,0.2710834229941438,55.19733333333332,0.2710834229941438,77.44999999999999,1.4210854715202004e-14,79.86999999999998,2.842170943040401e-14
0.8,125.0,46.268666666666654,9.944392635495085,46.268666666666654,9.944392635495085,71.03,1.4210854715202004e-14,46.32,7.105427357601002e-15
0.8500000000000001,118.0,17.741333333333333,6.234216728845911,17.741333333333333,6.234216728845911,46.019999999999996,7.105427357601002e-15,23.94000000000001,1.0658141036401503e-14
0.9,111.0,2.5456666666666683,0.8413904497252674,2.5456666666666683,0.8413904497252674,42.08999999999998,1.4210854715202004e-14,2.3600000000000017,8.881784197001252e-16
