K,L_over_D,D,total_windows,ROSS (greedy)_savings_mean,ROSS (greedy)_savings_std,ROSS (greedy)_overhead_opt_mean,ROSS (greedy)_overhead_opt_std,ROSS (uniform)_savings_mean,ROSS (uniform)_savings_std,ROSS (uniform)_overhead_opt_mean,ROSS (uniform)_overhead_opt_std,Uniform Progress_savings_mean,Uniform Progress_savings_std,Uniform Progress_overhead_opt_mean,Uniform Progress_overhead_opt_std,Greedy_savings_mean,Greedy_savings_std,Greedy_overhead_opt_mean,Greedy_overhead_opt_std,OPT_savings_mean,OPT_savings_std,OPT_overhead_opt_mean,OPT_overhead_opt_std
1.0,0.5,200.0,2550,-0.03613725490196116,0.06476943106363965,0.03613725490196116,0.06476943106363965,-0.017647058823529745,0.03361770281161187,0.017647058823529745,0.03361770281161187,-0.01805882352941231,0.033774866955053884,0.01805882352941231,0.033774866955053884,-0.002352941176471792,0.004241825029959805,0.002352941176471792,0.004241825029959805,0.0,0.0,0.0,0.0
2.0,0.5,200.0,2550,29.551117647058827,20.654715212647474,11.35716886699517,18.513820478143924,34.58119215686275,19.503317050966658,2.6260872049848407,7.325239528993714,34.571156862745106,19.486159282003968,2.650125587981132,7.318015289875463,33.822156862745096,21.410608586722272,3.192255666030109,9.805908023570863,36.044117647058826,19.613808528834145,0.0,0.0
3.0,0.5,200.0,2550,39.41353594771241,27.537800063829742,20.968104232076463,35.52552331429221,46.11413333333332,26.001125049324077,4.896977150821378,14.10282405819023,46.100895424836594,25.978282731663224,4.947811310337938,14.088577736763675,45.096993464052275,28.546910544507657,5.099821430420165,16.418010023183,48.058823529411754,26.151744705112186,0.0,0.0
4.0,0.5,200.0,2550,44.34474509803922,30.97934669107167,29.78381027221151,51.98757118353398,51.87672156862746,29.25203219079152,7.001293202148275,20.637354266190272,51.865764705882356,29.224345573838715,7.0726974600400005,20.617556330328377,50.73441176470588,32.11506153808764,6.4331744347936395,21.416319429914125,54.06617647058823,29.42071279325122,0.0,0.0
5.0,0.5,200.0,2550,47.3034705882353,33.044275507829944,38.13621684392539,68.19461763153627,55.33795294117647,31.199626568368227,8.990498289650938,27.046472723052847,55.32468627450981,31.17198350265526,9.091283172723116,27.019613790686535,54.11686274509804,34.25595213717316,7.44125483208431,25.416908886355785,57.67058823529412,31.38209364613463,0.0,0.0
6.0,0.5,200.0,2550,49.27595424836602,34.42089499915087,46.18505115366207,84.26932703968734,57.646105882352956,32.497246117535056,10.906921121514097,33.38229795756506,57.63063398692812,32.470408863042316,11.037907330757434,33.34843551167607,56.37183006535948,35.6832125375427,8.241410724365705,28.734679813303647,60.07352941176472,32.689680881390245,0.0,0.0
7.0,0.5,200.0,2550,50.68487114845938,35.404194755875025,54.0196812074728,100.27069588897052,59.29364089635854,33.42545463517592,12.773418189039438,39.67240093133195,59.27773949579831,33.39785558096698,12.93268136938073,39.632325341242684,57.98252100840334,36.70268425251203,8.89821704260374,31.554673672511502,61.789915966386545,33.62367176371568,0.0,0.0
8.0,0.5,200.0,2550,51.74155882352942,36.14166963345217,61.69517541648612,116.22985489593488,60.52998627450982,34.11933864250262,14.602252802847241,45.933789206902034,60.513068627450984,34.093440635377874,14.788400614002969,45.887453474327366,59.19053921568627,37.46728803894886,9.45088033213554,33.9956752345719,63.07720588235294,34.324164925459755,0.0,0.0
9.0,0.5,200.0,2550,52.56342701525054,36.71526123825362,69.24785267571771,132.16432285334102,61.48084052287583,34.66716343438947,16.419828444989285,52.1712604157816,61.47388017429194,34.63445124212395,16.61370353946906,52.12360934410938,60.13010893246189,38.06197987296074,9.92490170022717,36.138801593407436,64.07843137254902,34.86899294014959,0.0,0.0
10.0,0.5,200.0,2550,53.22092156862745,37.174134542106465,76.70291344154352,148.0844225551874,62.24957254901961,35.10037790553548,18.192913612467244,58.400284235202996,62.24252941176471,35.067259732843446,18.414690170926637,58.34698209233341,60.881764705882354,38.53773334024019,10.337739903088643,38.04204623238987,64.87941176470588,35.30485535190146,0.0,0.0
